"a","b","lift_a_to_b","lift_b_to_a","delta_lift","acc_a_to_b","acc_b_to_a","delta_acc"
"chr7","chr21","0.979646894453965","0.994800253709436","0.015153359255471","0.980806695139852","0.995767046975825","0.014960351835974"
"chr5","chr21","0.97932893805787","0.994029363507949","0.014700425450078","0.980366425545561","0.994996156774338","0.014629731228777"
"chr11","chr21","0.979665535597701","0.994184356425172","0.01451882082747","0.980739617517818","0.995151149691561","0.014411532173743"
"chr8","chr21","0.979923597740577","0.993805355504194","0.013881757763617","0.980979770594283","0.994772148770584","0.013792378176301"
"chr6","chr21","0.98059615248969","0.994466736225004","0.013870583735315","0.98171091357551","0.995433529491394","0.013722615915883"
"chr21","chr22","0.979130918792026","0.965694611131678","0.013436307660349","0.980097712058416","0.967331439802304","0.012766272256112"
"chr1","chr22","0.9832441554454","0.995904736213853","0.012660580768453","0.984447592319958","0.997541564884479","0.013093972564521"
"chr3","chr21","0.982610508236643","0.995223158203532","0.012612649966889","0.983713673218507","0.996189951469922","0.012476278251414"
"chr14","chr21","0.975965773849834","0.988572348930965","0.012606575081131","0.977103926870834","0.989539142197354","0.012435215326519"
"chr15","chr21","0.977307350305421","0.989583128921179","0.012275778615758","0.978556389434143","0.990549922187569","0.011993532753425"
"chr2","chr22","0.983413617929004","0.995546879449003","0.012133261519999","0.984495870196021","0.997183708119629","0.012687837923608"
"chr4","chr21","0.983235733343255","0.994587221598962","0.011351488255707","0.984360022972392","0.995554014865351","0.011193991892959"
"chr7","chr22","0.98278281417442","0.99367800569251","0.01089519151809","0.983942614860307","0.995314834363136","0.011372219502829"
"chr10","chr22","0.981456850209401","0.992332382538667","0.010875532329266","0.982650140499138","0.993969211209293","0.011319070710155"
"chr21","chrX","0.992589026967105","0.982173405585571","0.010415621381534","0.993555820233494","0.983277181504211","0.010278638729283"
"chr16","chr22","0.979667046537304","0.990064793014677","0.010397746477373","0.981329849845699","0.991701621685303","0.010371771839604"
"chr11","chr22","0.982736071932517","0.993088699702249","0.010352627769731","0.983810153852634","0.994725528372875","0.010915374520241"
"chr6","chr22","0.982942542404343","0.993226769082027","0.010284226677684","0.984057303490163","0.994863597752653","0.01080629426249"
"chr3","chr22","0.983999892713962","0.994095703871654","0.010095811157692","0.985103057695826","0.99573253254228","0.010629474846454"
"chr17","chr22","0.980148215242824","0.990232144679685","0.010083929436861","0.981912657533819","0.991868973350311","0.009956315816492"
"chr5","chr22","0.982952972438063","0.992559490495047","0.009606518056984","0.983990459925754","0.994196319165673","0.010205859239919"
"chr8","chr22","0.983128565432441","0.992480922037873","0.009352356605432","0.984184738286146","0.994117750708499","0.009933012422353"
"chr4","chr22","0.984005280003207","0.993254519154658","0.009249239151451","0.985129569632344","0.994891347825284","0.00976177819294"
"chr13","chr21","0.979574205569807","0.988246065558013","0.008671859988206","0.980697531900325","0.989212858824402","0.008515326924077"
"chr12","chr22","0.982302365671709","0.990848775127967","0.008546409456258","0.98325514091785","0.992485603798593","0.009230462880743"
"chr9","chr22","0.981698286792427","0.990024189380796","0.008325902588369","0.982646176220125","0.991661018051422","0.009014841831298"
"chr18","chr21","0.979214422645511","0.986797996001449","0.007583573355938","0.980326437382474","0.987764789267838","0.007438351885364"
"chr22","chrX","0.990965648900122","0.983926534878534","0.007039114021589","0.992602477570748","0.985030310797173","0.007572166773575"
"chr1","chr19","0.988527750963628","0.995564045589054","0.007036294625426","0.989731187838186","0.997821778236388","0.008090590398202"
"chr19","chr22","0.979634433597033","0.986614675855743","0.00698024225871","0.981892166244367","0.988251504526369","0.006359338282002"
"chr2","chr19","0.988688246647537","0.99523442335302","0.006546176705483","0.989770498914554","0.997492156000354","0.0077216570858"
"chr15","chr22","0.981880504888112","0.988032993985129","0.006152489097017","0.983129544016834","0.989669822655755","0.006540278638921"
"chr10","chr18","0.98963851528634","0.995356533117795","0.005718017831455","0.990831805576077","0.996468547854758","0.005636742278681"
"chr1","chr20","0.990901476325334","0.9965098559778","0.005608379652467","0.992104913199892","0.997865961287557","0.005761048087665"
"chr1","chr18","0.991743274706341","0.997332213466208","0.005588938759867","0.9929467115809","0.998444228203171","0.005497516622271"
"chr17","chr18","0.987216114714316","0.992801496337818","0.005585381623502","0.988980557005311","0.993913511074781","0.00493295406947"
"chr16","chr18","0.987281803924816","0.992860264389641","0.005578460464825","0.988944607233211","0.993972279126604","0.005027671893393"
"chr20","chr22","0.979582362936611","0.985116086810739","0.005533723874129","0.980938468246367","0.986752915481365","0.005814447234998"
"chr2","chr18","0.991824893634072","0.997288720113407","0.005463826479336","0.992907145901089","0.99840073485037","0.005493588949282"
"chr7","chr19","0.988374252030569","0.993675006164375","0.005300754133806","0.989534052716455","0.995932738811709","0.006398686095254"
"chr2","chr20","0.991013190576545","0.996310772169929","0.005297581593384","0.992095442843563","0.997666877479686","0.005571434636123"
"chr3","chr19","0.98887509748037","0.994040220072893","0.005165122592523","0.989978262462234","0.996297952720228","0.006319690257994"
"chr14","chr22","0.981547633419035","0.986623784008416","0.005076150589381","0.982685786440035","0.988260612679042","0.005574826239007"
"chr6","chr19","0.988326650888182","0.993356164098372","0.00502951321019","0.989441411974003","0.995613896745706","0.006172484771703"
"chr9","chr18","0.989194449171773","0.994160653207729","0.004966204035955","0.990142338599471","0.995272667944691","0.005130329345221"
"chr11","chr19","0.988256803447964","0.993141872570291","0.004885069122327","0.989330885368081","0.995399605217625","0.006068719849545"
"chr7","chr18","0.991222318413306","0.996050637083973","0.004828318670667","0.992382119099193","0.997162651820936","0.004780532721743"
"chr10","chr19","0.987751377695487","0.992526262119777","0.00477488442429","0.988944667985224","0.994783994767112","0.005839326781887"
"chr5","chr18","0.991239374593907","0.995837998290233","0.004598623696326","0.992276862081598","0.996950013027196","0.004673150945598"
"chr4","chr19","0.988835381150978","0.993377097021131","0.004541715870153","0.989959670780115","0.995634829668465","0.005675158888351"
"chr12","chr18","0.99017100481723","0.994698139483391","0.004527134666161","0.99112378006337","0.995810154220354","0.004686374156983"
"chr10","chr20","0.98915845769944","0.993602106378626","0.004443648679186","0.990351747989177","0.994958211688383","0.004606463699206"
"chr6","chr18","0.991624347758735","0.996042354617745","0.00441800685901","0.992739108844556","0.997154369354708","0.004415260510153"
"chr10","chr13","0.991011777144321","0.995425081720119","0.004413304575798","0.992205067434058","0.996548408050637","0.004343340616578"
"chr1","chr13","0.99301727483665","0.997348718526876","0.004331443690226","0.994220711711208","0.998472044857394","0.004251333146186"
"chr13","chr17","0.992895862478186","0.988585595611229","0.004310266866957","0.994019188808703","0.990350037902224","0.003669150906479"
"chr2","chr13","0.993061404956613","0.997331334524608","0.004269929567995","0.99414365722363","0.998454660855126","0.004311003631496"
"chr13","chr16","0.99296784789658","0.988745680411225","0.004222167485355","0.994091174227097","0.99040848371962","0.003682690507477"
"chr7","chr20","0.990461188729024","0.994658360925651","0.004197172196627","0.991620989414911","0.996014466235407","0.004393476820496"
"chr1","chr14","0.992949040067101","0.997145195407226","0.004196155340126","0.994152476941659","0.998283348428227","0.004130871486568"
"chr5","chr19","0.988548376481403","0.992735534309431","0.004187157828028","0.989585863969094","0.994993266956765","0.005407402987672"
"chr1","chr15","0.992997345308791","0.997132912515789","0.004135567206998","0.994200782183349","0.998381951644511","0.004181169461162"
"chr8","chr19","0.988559025406886","0.992654882666975","0.004095857260089","0.989615198260591","0.99491261531431","0.005297417053718"
"chr17","chr20","0.987200678055249","0.991290044308267","0.004089366253018","0.988965120346244","0.992646149618024","0.00368102927178"
"chr11","chr18","0.991441834189997","0.995489760124795","0.004047925934798","0.992515916110114","0.996601774861758","0.004085858751644"
"chr8","chr18","0.991508618930002","0.995552856701681","0.004044237771678","0.992564791783707","0.996664871438644","0.004100079654936"
"chr16","chr20","0.987166775162328","0.991169520149116","0.004002744986788","0.988829578470723","0.992525625458873","0.00369604698815"
"chr2","chr14","0.993015301841474","0.997012219502917","0.003996917661443","0.994097554108491","0.998150372523917","0.004052818415426"
"chr2","chr15","0.993096643977292","0.99708132211162","0.003984678134328","0.994178896244309","0.998330361240342","0.004151464996033"
"chr3","chr18","0.992595378818822","0.996542382503436","0.003947003684614","0.993698543800686","0.997654397240399","0.003955853439713"
"chr13","chr22","0.982277400912718","0.986034478018154","0.003757077105437","0.983400727243235","0.98767130668878","0.004270579445545"
"chr9","chr13","0.990528084956817","0.994253651712093","0.003725566755276","0.991475974384515","0.99537697804261","0.003901003658095"
"chr10","chr14","0.9910853666306","0.994799070574615","0.003713703944015","0.992278656920337","0.995937223595615","0.003658566675278"
"chr6","chr20","0.990722860994473","0.994435297397533","0.003712436403061","0.991837622080293","0.99579140270729","0.003953780626996"
"chr7","chr13","0.992501093446382","0.996119727399793","0.003618633953412","0.993660894132269","0.997243053730311","0.003582159598042"
"chr16","chr19","0.986828086152835","0.990426182329408","0.003598096176572","0.98849088946123","0.992683914976742","0.004193025515512"
"chr14","chr17","0.992468330167135","0.988928337682063","0.003539992485073","0.993606483188136","0.990692779973057","0.002913703215078"
"chr11","chr20","0.990587771818915","0.994099841963218","0.003512070144303","0.991661853739032","0.995455947272974","0.003794093533942"
"chr10","chr15","0.991503065757509","0.995011444208778","0.00350837845127","0.992696356047246","0.996260483337501","0.003564127290255"
"chr3","chr20","0.991636417309976","0.995115904413916","0.00347948710394","0.99273958229184","0.996472009723672","0.003732427431832"
"chr14","chr16","0.992421808843291","0.988978060514827","0.003443748328465","0.993559961864292","0.990640863823222","0.00291909804107"
"chr5","chr13","0.992534532943335","0.995919045933297","0.003384512989961","0.993572020431026","0.997042372263814","0.003470351832788"
"chr5","chr20","0.990567926108706","0.993929950858255","0.003362024749549","0.991605413596397","0.995286056168011","0.003680642571615"
"chr4","chr18","0.992797351032327","0.996128966739447","0.00333161570712","0.993921640661463","0.99724098147641","0.003319340814947"
"chr17","chr19","0.98728578067828","0.990606365171358","0.003320584493079","0.989050222969274","0.992864097818692","0.003813874849418"
"chr12","chr13","0.99153085331858","0.994782315890659","0.003251462572079","0.99248362856472","0.995905642221176","0.003422013656456"
"chr7","chr14","0.992463119787101","0.995644588274507","0.003181468487406","0.993622920472988","0.996782741295507","0.003159820822519"
"chr6","chr13","0.992934489446616","0.996113501817768","0.003179012371152","0.994049250532436","0.997236828148285","0.003187577615849"
"chr7","chr15","0.992647641157433","0.995763600795973","0.00311595963854","0.99380744184332","0.997012639924695","0.003205198081376"
"chr8","chr20","0.990759719386362","0.993768921823818","0.003009202437456","0.991815892240068","0.995125027133575","0.003309134893507"
"chr1","chr16","0.993334614241788","0.996261707833626","0.002927093591838","0.994538051116346","0.997924511142021","0.003386460025674"
"chr1","chr17","0.993308552551511","0.996225897656799","0.002917345105288","0.994511989426069","0.997990339947794","0.003478350521725"
"chr12","chr19","0.988429270076768","0.991335081850295","0.002905811773526","0.989382045322909","0.993592814497629","0.00421076917472"
"chr18","chr20","0.990052799681687","0.987165636685552","0.002887162996135","0.99116481441865","0.988521741995309","0.002643072423341"
"chr8","chr13","0.992761198028358","0.995632328964381","0.002871130936023","0.993817370882063","0.996755655294898","0.002938284412836"
"chr11","chr13","0.992737942594224","0.995570787555177","0.002832844960953","0.99381202451434","0.996694113885695","0.002882089371354"
"chr6","chr15","0.992912636766176","0.995734733798831","0.002822097032655","0.994027397851997","0.996983772927553","0.002956375075556"
"chr15","chr16","0.99255310237714","0.989763458813428","0.002789643563712","0.993802141505862","0.991426262121823","0.002375879384039"
"chr12","chr20","0.989667489826423","0.992444667838128","0.002777178011705","0.990620265072564","0.993800773147885","0.003180508075321"
"chr3","chr13","0.993829437478237","0.996584502818556","0.002755065340319","0.994932602460101","0.997707829149073","0.002775226688972"
"chr15","chr17","0.992567516184717","0.989824668898738","0.002742847285979","0.993816555313439","0.991589111189733","0.002227444123707"
"chr4","chr20","0.991749388936176","0.994492066778725","0.002742677842549","0.992873678565312","0.995848172088481","0.002974493523169"
"chr9","chr20","0.988962382805664","0.991699993264826","0.002737610459162","0.989910272233362","0.993056098574583","0.003145826341221"
"chr5","chr15","0.992735638320438","0.995471307681665","0.002735669361227","0.993773125808129","0.996720346810388","0.002947221002259"
"chr6","chr14","0.992830929300033","0.995545215193511","0.002714285893478","0.993945690385853","0.996683368214512","0.002737677828658"
"chr5","chr14","0.992529678168321","0.995217320831071","0.00268764266275","0.993567165656012","0.996355473852072","0.002788308196059"
"chr3","chr15","0.993640795105307","0.996282576632721","0.002641781527414","0.994743960087171","0.997531615761443","0.002787655674273"
"chr9","chr14","0.99076214929966","0.993380575050673","0.002618425751013","0.991710038727358","0.994518728071673","0.002808689344316"
"chr19","chrX","0.991542756977722","0.98892561327191","0.002617143705812","0.993800489625056","0.99002938919055","0.003771100434506"
"chr2","chr16","0.993462351014153","0.996063758939483","0.00260140792533","0.99454460328117","0.997726562247878","0.003181958966708"
"chr1","chr9","0.99467625617311","0.997252946208281","0.002576690035171","0.995879693047668","0.998200835635979","0.002321142588311"
"chr2","chr17","0.993429079724868","0.995991131800165","0.002562052075296","0.994511331991886","0.99775557409116","0.003244242099274"
"chr14","chr18","0.989626848928184","0.992186762537947","0.002559913609763","0.990765001949185","0.99329877727491","0.002533775325726"
"chr18","chrX","0.994957351541995","0.992457093643303","0.002500257898692","0.996069366278958","0.993560869561943","0.002508496717016"
"chr11","chr15","0.992770177440315","0.995220129362742","0.002449951922426","0.993844259360432","0.996469168491464","0.002624909131032"
"chr11","chr14","0.992666114140096","0.995102011252272","0.002435897112175","0.993740196060213","0.996240164273272","0.002499968213059"
"chr3","chr14","0.993710305554203","0.996116831238303","0.0024065256841","0.994813470536067","0.997254984259304","0.002441513723237"
"chr12","chr14","0.991583956361467","0.993982959945729","0.002399003584262","0.992536731607607","0.99512111296673","0.002584381359122"
"chr18","chr22","0.982151285280601","0.984535293112696","0.002384007832095","0.983263300017564","0.986172121783322","0.002908821765758"
"chr9","chr19","0.988240428966152","0.990587143386699","0.002346714420547","0.98918831839385","0.992844876034034","0.003656557640184"
"chr9","chr15","0.991386667561468","0.993727512638763","0.002340845077295","0.992334556989166","0.994976551767485","0.002641994778319"
"chr2","chr9","0.994760028297086","0.997086238313957","0.002326210016871","0.995842280564103","0.998034127741655","0.002191847177552"
"chr12","chr15","0.991980363941867","0.994294101298901","0.002313737357034","0.992933139188008","0.995543140427623","0.002610001239615"
"chr8","chr15","0.992896564067314","0.995203588927817","0.002307024860503","0.993952736921019","0.996452628056539","0.00249989113552"
"chr8","chr14","0.992742317240478","0.994985855162042","0.002243537921564","0.993798490094183","0.996124008183042","0.002325518088859"
"chr1","chrX","0.995426043192551","0.997662228859081","0.00223618566653","0.99662948006711","0.998766004777721","0.002136524710611"
"chr1","chr12","0.995173424133689","0.997372813956031","0.002199389822341","0.996376861008248","0.998325589202171","0.001948728193923"
"chr2","chrX","0.995500020016817","0.997665930349781","0.002165910332964","0.996582272283834","0.998769706268421","0.002187433984587"
"chr4","chr13","0.994028464074141","0.996193413796883","0.002164949722742","0.995152753703277","0.997316740127401","0.002163986424123"
"chr15","chr18","0.990247090074758","0.992362733729948","0.00211564365519","0.991496129203481","0.993474748466911","0.001978619263431"
"chr4","chr15","0.993724278214262","0.995829093041876","0.002104814827614","0.994848567843398","0.997078132170598","0.0022295643272"
"chr2","chr12","0.995258986778245","0.997284083553394","0.00202509677515","0.996341239045262","0.998236858799535","0.001895619754273"
"chr18","chr19","0.987885748580951","0.985961651912188","0.001924096668763","0.988997763317914","0.988219384559523","0.000778378758392"
"chr10","chrX","0.994212319475322","0.996061205009537","0.001848885534215","0.99540560976506","0.997164980928177","0.001759371163117"
"chr4","chr14","0.993846419833789","0.995621585246498","0.001775165412709","0.994970709462926","0.996759738267499","0.001789028804573"
"chr1","chr11","0.995821697832346","0.997499606665502","0.001677908833156","0.997025134706904","0.998573688585619","0.001548553878715"
"chr1","chr8","0.995895905675193","0.997553970904844","0.001658065229651","0.997099342549752","0.998610143758549","0.001510801208798"
"chr13","chr20","0.990215460249795","0.988635385017346","0.001580075232449","0.991338786580312","0.989991490327102","0.00134729625321"
"chr2","chr11","0.995919368520075","0.997479363875912","0.001559995355837","0.997001620787092","0.998553445796028","0.001551825008936"
"chr2","chr8","0.995997163196478","0.997511466106764","0.001514302910286","0.997079415463495","0.998567638960469","0.001488223496974"
"chr7","chrX","0.995126056717717","0.996631320658525","0.001505263940808","0.996285857403604","0.997735096577165","0.00144923917356"
"chr13","chrX","0.995087913723095","0.993684761898921","0.001403151824174","0.996211240053612","0.99478853781756","0.001422702236052"
"chr9","chr10","0.994761113417147","0.993361162765911","0.001399950651236","0.995709002844845","0.994554453055648","0.001154549789197"
"chr13","chr14","0.992358897523586","0.990965514743726","0.001393382779859","0.993482223854103","0.992103667764727","0.001378556089376"
"chr7","chr16","0.993122993369413","0.994502497138746","0.001379503769333","0.9942827940553","0.996165300447141","0.001882506391841"
"chr1","chr10","0.995710364374103","0.99708853778216","0.001378173408057","0.996913801248662","0.998281828071898","0.001368026823236"
"chr7","chr17","0.993100704026611","0.99446233975773","0.00136163573112","0.994260504712498","0.996226782048725","0.001966277336228"
"chr5","chrX","0.99521063572341","0.996543711538526","0.001333075815116","0.9962481232111","0.997647487457165","0.001399364246065"
"chr1","chr5","0.996177392177892","0.997506558129835","0.001329165951943","0.99738082905245","0.998544045617526","0.001163216565076"
"chr7","chr9","0.99436207533953","0.995660531381892","0.001298456042362","0.995521876025417","0.99660842080959","0.001086544784173"
"chr6","chrX","0.995393807742156","0.996684690989549","0.001290883247394","0.996508568827976","0.997788466908189","0.001279898080212"
"chr1","chr4","0.99643563720652","0.997668839445394","0.001233202238875","0.997639074081078","0.998793129074531","0.001154054993453"
"chr2","chr4","0.996524515210224","0.997719291154194","0.00119477594397","0.997606767477241","0.998843580783331","0.001236813306089"
"chr17","chrX","0.992503331243086","0.993697458872834","0.001194127629747","0.994267773534081","0.994801234791473","0.000533461257392"
"chr20","chrX","0.992694526097129","0.991501226710602","0.001193299386527","0.994050631406886","0.992605002629242","0.001445628777644"
"chr2","chr5","0.996262349645055","0.997442728871978","0.001180379226922","0.997344601912072","0.998480216359669","0.001135614447596"
"chr10","chr12","0.993960609413996","0.995138029605209","0.001177420191213","0.995153899703734","0.99609080485135","0.000936905147616"
"chr2","chr10","0.995799032045212","0.996970699553113","0.0011716675079","0.99688128431223","0.99816398984285","0.00128270553062"
"chr9","chrX","0.99400639823311","0.995166262031324","0.001159863798214","0.994954287660808","0.996270037949964","0.001315750289156"
"chr3","chr16","0.993808522085359","0.994955522211838","0.001147000126479","0.994911687067223","0.996618325520233","0.00170663845301"
"chr13","chr18","0.99111657072353","0.992258682646693","0.001142111923163","0.992239897054048","0.993370697383656","0.001130800329609"
"chr10","chr16","0.992351145816066","0.993482518398897","0.001131372582831","0.993544436105803","0.995145321707293","0.001600885601489"
"chr16","chrX","0.992607313726749","0.993735226990151","0.001127913263402","0.994270117035144","0.994839002908791","0.000568885873646"
"chr1","chr6","0.996344898557908","0.997472262235928","0.001127363678021","0.997548335432466","0.998587023321749","0.001038687889283"
"chr3","chrX","0.995976352918835","0.997090628309754","0.001114275390919","0.997079517900699","0.998194404228394","0.001114886327695"
"chr3","chr17","0.993758294854675","0.994859110135296","0.001100815280621","0.99486145983654","0.996623552426291","0.001762092589752"
"chr7","chr12","0.99487481409734","0.995948045044399","0.001073230947059","0.996034614783227","0.99690082029054","0.000866205507313"
"chr1","chr7","0.996325981415354","0.997388225812975","0.001062244397622","0.997529418289912","0.998548026498862","0.00101860820895"
"chr2","chr6","0.996435385292408","0.997472105445396","0.001036720152988","0.997517637559425","0.998586866531217","0.001069228971792"
"chr15","chrX","0.994579778239238","0.993545869916489","0.001033908322749","0.995828817367961","0.994649645835129","0.001179171532832"
"chr6","chr16","0.993248070511211","0.994280874241413","0.001032803730202","0.994362831597032","0.995943677549808","0.001580845952777"
"chr15","chr19","0.987845694597646","0.988858551677882","0.001012857080236","0.989094733726368","0.991116284325216","0.002021550598848"
"chr10","chr17","0.992375333794731","0.993383100210972","0.001007766416241","0.993568624084468","0.995147542501966","0.001578918417498"
"chr12","chrX","0.994619517574003","0.995621609948316","0.001002092374313","0.995572292820143","0.996725385866955","0.001153093046812"
"chr6","chr17","0.993212067485232","0.994192640420031","0.000980572934799","0.994326828571053","0.995957082711026","0.001630254139973"
"chr9","chr17","0.992522695236676","0.991585935418727","0.000936759817949","0.993470584664374","0.993350377709722","0.000120206954652"
"chr8","chrX","0.995344435190556","0.99627083420087","0.000926399010314","0.996400608044261","0.99737461011951","0.000974002075249"
"chr13","chr15","0.992505045613104","0.991593717769535","0.00091132784357","0.993628371943622","0.992842756898257","0.000785615045365"
"chr2","chr7","0.996436577017055","0.997341571261954","0.000904994244899","0.997518829284072","0.998501371947841","0.000982542663769"
"chr1","chr3","0.996785503105239","0.997685088354663","0.000899585249424","0.997988939979797","0.998788253336527","0.00079931335673"
"chr6","chr9","0.994635176751633","0.995502034350858","0.000866857599225","0.995749937837454","0.996449923778556","0.000699985941102"
"chr3","chr9","0.995261544548087","0.996102522152772","0.000840977604685","0.996364709529951","0.99705041158047","0.000685702050519"
"chr11","chrX","0.99533231499961","0.996163426409684","0.000831111410075","0.996406396919726","0.997267202328324","0.000860805408597"
"chr2","chr3","0.996880411304639","0.997701780285262","0.000821368980623","0.997962663571656","0.998804945267126","0.00084228169547"
"chr9","chr16","0.992456324091751","0.991670621841497","0.000785702250255","0.993404213519449","0.993333425149892","0.000070788369557"
"chr8","chr10","0.99570512731511","0.99495426758613","0.00075085972898","0.996761300168815","0.996147557875867","0.000613742292948"
"chr11","chr17","0.993165940081838","0.993909836001979","0.000743895920141","0.994240022001955","0.995674278292974","0.001434256291019"
"chr4","chrX","0.996049764708302","0.996788806175636","0.000739041467334","0.997174054337439","0.997892582094275","0.000718527756836"
"chr19","chr20","0.986286140733922","0.987017431588465","0.000731290854543","0.988543873381256","0.988373536898221","0.000170336483035"
"chr6","chr12","0.99513026245618","0.995852805074978","0.000722542618799","0.996245023542","0.996805580321119","0.000560556779118"
"chr3","chr12","0.995713572797699","0.996407845790566","0.000694272992867","0.996816737779563","0.997360621036707","0.000543883257143"
"chr11","chr16","0.993186727964906","0.993878742163131","0.000692014198225","0.994260809885022","0.995541545471526","0.001280735586503"
"chr5","chr9","0.994432952256175","0.995106188631666","0.000673236375491","0.995470439743866","0.996054078059364","0.000583638315498"
"chr7","chr8","0.995699310097661","0.9963585177025","0.000659207604839","0.996859110783548","0.997414690556205","0.000555579772657"
"chr13","chr19","0.987989899724584","0.987343738155716","0.000646161568868","0.989113226055102","0.98960147080305","0.000488244747949"
"chr7","chr11","0.995657834726012","0.996283750887325","0.000625916161314","0.996817635411899","0.997357832807442","0.000540197395543"
"chr14","chrX","0.994193925316198","0.993570080248103","0.000623845068095","0.995332078337198","0.994673856166743","0.000658222170456"
"chr9","chr11","0.995143985972342","0.994546314982266","0.000597670990076","0.99609187540004","0.995620396902382","0.000471478497658"
"chr5","chr12","0.994968853216264","0.995560275158387","0.000591421942123","0.996006340703955","0.996513050404527","0.000506709700572"
"chr3","chr11","0.996201778114638","0.996792223993776","0.000590445879138","0.997304943096502","0.997866305913893","0.000561362817391"
"chr4","chr10","0.996190931119136","0.995600639413093","0.000590291706043","0.997315220748272","0.99679392970283","0.000521291045442"
"chr5","chr16","0.993239946464336","0.993810042732187","0.000570096267851","0.994277433952027","0.995472846040582","0.001195412088555"
"chr10","chr11","0.995060049345978","0.995627978657113","0.000567929311135","0.996253339635715","0.996702060577229","0.000448720941514"
"chr6","chr11","0.995790801369934","0.996315267201106","0.000524465831172","0.996905562455754","0.997389349121223","0.000483786665468"
"chr4","chr16","0.993835739249197","0.994350225624252","0.000514486375055","0.994960028878333","0.996013028932647","0.001053000054314"
"chr12","chr17","0.992832866822726","0.992334975180144","0.000497891642583","0.993785642068867","0.994099417471138","0.000313775402272"
"chr3","chr8","0.996337113999526","0.996827129647532","0.000490015648006","0.99744027898139","0.997883302501237","0.000443023519847"
