"row","col","n","train_n","unique_variants","grammar_edges","test_transitions","entropy_raw","baseline_accuracy","kgram_accuracy","lift","out_of_grammar","surprise_rate","compression_ratio","is_self"
"chr15","chr2","84641066","59248746","511336","2370549","25392319","16,4151677956165","0,00124903912872235","0,998330361240342","0,99708132211162","42396","0,00166963875965799","165,52925278095","False"
"chr14","chr2","90567789","63397452","512111","2370549","27170336","16,4004975856765","0,00113815302100055","0,998150372523917","0,997012219502917","50255","0,00184962747608274","176,851871957447","False"
"chr10","chr2","133261791","93283253","521535","2370549","39978537","16,4322450766873","0,00119329028973722","0,99816398984285","0,996970699553113","73401","0,00183601015715007","255,518404325692","False"
"chr4","chr4","189752412","132826688","522911","2277542","56925723","16,3335238608365","0,00112428962913655","0,998034719734697","0,99691043010556","111875","0,00196528026530291","362,877070859095","True"
"chr2","chr3","240547740","168383418","528775","2306226","72164321","16,4125333262438","0,0010822522670171","0,997962663571656","0,996880411304639","147023","0,00203733642834386","454,91511512458","False"
"chr3","chr4","198099715","138669800","524473","2277542","59429914","16,3847066221803","0,00110316498186418","0,997941558522195","0,996838393540331","122333","0,00205844147780527","377,711941320144","False"
"chr8","chr3","144767971","101337579","521302","2306226","43430391","16,4125441001416","0,00105617285370514","0,997883302501237","0,996827129647532","91929","0,00211669749876302","277,704614599599","False"
"chr4","chr6","189752412","132826688","522911","2272646","56925723","16,3335238608365","0,00112428962913655","0,997928423324549","0,996804133695412","117926","0,00207157667545127","362,877070859095","False"
"chr6","chr3","170078297","119054807","523522","2306226","51023489","16,3880976124483","0,00111476108582069","0,997907885131101","0,99679312404528","106747","0,00209211486889891","324,873256520261","False"
"chr11","chr3","134533502","94173451","521158","2306226","40360050","16,4314763452747","0,00107408192011655","0,997866305913893","0,996792223993776","86116","0,00213369408610743","258,14340756546","False"
"chrX","chr4","154892552","108424786","518905","2277542","46467765","16,3430698202026","0,00110377591863951","0,997892582094275","0,996788806175636","97927","0,00210741790572454","298,498862026768","False"
"chr1","chr3","230478786","161335150","528881","2306226","69143635","16,4364904495584","0,0012034368745583","0,997988939979797","0,996785503105239","139052","0,00201106002020287","435,785717392003","False"
"chr21","chr1","40087854","28061497","489024","2377244","12026356","16,3738072062077","0,000966793266389254","0,997733810640563","0,996767017374174","27254","0,00226618935943689","81,9752282096584","False"
"chr3","chr6","198099715","138669800","524473","2272646","59429914","16,3847066221803","0,00110316498186418","0,997851099027335","0,996747934045471","127709","0,00214890097266505","377,711941320144","False"
