"sample_index","sampled_row","sampled_col","sampled_lift","sampled_accuracy","diagnostic"
"32","chrX","chr12","0.995621609948316","0.996725385866955","label_sample_only_not_sequence_null_model"
"33","chr13","chr5","0.995919045933297","0.997042372263814","label_sample_only_not_sequence_null_model"
"34","chr12","chr21","0.976954280858864","0.977907056105005","label_sample_only_not_sequence_null_model"
"35","chr17","chrX","0.992503331243086","0.994267773534081","label_sample_only_not_sequence_null_model"
"36","chr13","chr20","0.990215460249795","0.991338786580312","label_sample_only_not_sequence_null_model"
"37","chr14","chr2","0.997012219502917","0.998150372523917","label_sample_only_not_sequence_null_model"
"38","chr8","chr9","0.994586924165615","0.99564309701932","label_sample_only_not_sequence_null_model"
"39","chr3","chr16","0.993808522085359","0.994911687067223","label_sample_only_not_sequence_null_model"
"40","chr22","chrX","0.990965648900122","0.992602477570748","label_sample_only_not_sequence_null_model"
"41","chr4","chrY","0.973901411845046","0.975025701474182","label_sample_only_not_sequence_null_model"
"42","chr2","chr22","0.983413617929004","0.984495870196021","label_sample_only_not_sequence_null_model"
"43","chr14","chr19","0.987947775102965","0.989085928123966","label_sample_only_not_sequence_null_model"
"44","chr20","chr18","0.987165636685552","0.988521741995309","label_sample_only_not_sequence_null_model"
"45","chr6","chr2","0.997472105445396","0.998586866531217","label_sample_only_not_sequence_null_model"
"46","chr6","chr3","0.99679312404528","0.997907885131101","label_sample_only_not_sequence_null_model"
"47","chr10","chr16","0.992351145816066","0.993544436105803","label_sample_only_not_sequence_null_model"
"48","chr19","chr8","0.992654882666975","0.99491261531431","label_sample_only_not_sequence_null_model"
"49","chrX","chr9","0.995166262031324","0.996270037949964","label_sample_only_not_sequence_null_model"
"50","chr18","chr20","0.990052799681687","0.99116481441865","label_sample_only_not_sequence_null_model"
"51","chr8","chr8","0.995893359560129","0.996949532413834","label_sample_only_not_sequence_null_model"
"52","chr8","chr2","0.997511466106764","0.998567638960469","label_sample_only_not_sequence_null_model"
"53","chr21","chr22","0.979130918792026","0.980097712058416","label_sample_only_not_sequence_null_model"
"54","chr22","chr16","0.990064793014677","0.991701621685303","label_sample_only_not_sequence_null_model"
"55","chr9","chr8","0.994888655493579","0.995836544921277","label_sample_only_not_sequence_null_model"
"56","chr4","chrY","0.973901411845046","0.975025701474182","label_sample_only_not_sequence_null_model"
"57","chr5","chrY","0.968537619109101","0.969575106596791","label_sample_only_not_sequence_null_model"
"58","chr5","chr18","0.991239374593907","0.992276862081598","label_sample_only_not_sequence_null_model"
"59","chr10","chr4","0.995600639413093","0.99679392970283","label_sample_only_not_sequence_null_model"
"60","chr13","chr12","0.994782315890659","0.995905642221176","label_sample_only_not_sequence_null_model"
"61","chr21","chr13","0.988246065558013","0.989212858824402","label_sample_only_not_sequence_null_model"
"62","chr9","chr10","0.994761113417147","0.995709002844845","label_sample_only_not_sequence_null_model"
"63","chr13","chrX","0.995087913723095","0.996211240053612","label_sample_only_not_sequence_null_model"
"64","chr13","chr10","0.995425081720119","0.996548408050637","label_sample_only_not_sequence_null_model"
"65","chr17","chr4","0.994235091232464","0.995999533523459","label_sample_only_not_sequence_null_model"
"66","chr9","chr8","0.994888655493579","0.995836544921277","label_sample_only_not_sequence_null_model"
"67","chr6","chrX","0.995393807742156","0.996508568827976","label_sample_only_not_sequence_null_model"
"68","chr14","chr9","0.993380575050673","0.994518728071673","label_sample_only_not_sequence_null_model"
"69","chr4","chr8","0.996410462806067","0.997534752435204","label_sample_only_not_sequence_null_model"
"70","chr12","chr14","0.991583956361467","0.992536731607607","label_sample_only_not_sequence_null_model"
"71","chr9","chr3","0.996102522152772","0.99705041158047","label_sample_only_not_sequence_null_model"
"72","chr16","chr2","0.996063758939483","0.997726562247878","label_sample_only_not_sequence_null_model"
"73","chr19","chr6","0.993356164098372","0.995613896745706","label_sample_only_not_sequence_null_model"
"74","chr3","chr6","0.996747934045471","0.997851099027335","label_sample_only_not_sequence_null_model"
"75","chr8","chr4","0.996434017828667","0.997490190682373","label_sample_only_not_sequence_null_model"
"76","chr19","chr20","0.986286140733922","0.988543873381256","label_sample_only_not_sequence_null_model"
"77","chr10","chr2","0.996970699553113","0.99816398984285","label_sample_only_not_sequence_null_model"
"78","chr7","chr22","0.98278281417442","0.983942614860307","label_sample_only_not_sequence_null_model"
"79","chr13","chr14","0.992358897523586","0.993482223854103","label_sample_only_not_sequence_null_model"
"80","chr6","chrY","0.970295171308258","0.971409932394078","label_sample_only_not_sequence_null_model"
"81","chr1","chr22","0.9832441554454","0.984447592319958","label_sample_only_not_sequence_null_model"
"82","chr9","chr4","0.995555979722671","0.996503869150369","label_sample_only_not_sequence_null_model"
"83","chr22","chr22","0.978129282481013","0.979766111151639","label_sample_only_not_sequence_null_model"
"84","chr3","chr13","0.993829437478237","0.994932602460101","label_sample_only_not_sequence_null_model"
"85","chr12","chr9","0.993769067710361","0.994721842956501","label_sample_only_not_sequence_null_model"
"86","chr9","chr1","0.997252946208281","0.998200835635979","label_sample_only_not_sequence_null_model"
"87","chr2","chr15","0.993096643977292","0.994178896244309","label_sample_only_not_sequence_null_model"
"88","chr15","chr14","0.991620891341197","0.992869930469919","label_sample_only_not_sequence_null_model"
"89","chr4","chr14","0.993846419833789","0.994970709462926","label_sample_only_not_sequence_null_model"
"90","chr13","chrX","0.995087913723095","0.996211240053612","label_sample_only_not_sequence_null_model"
"91","chr8","chr21","0.979923597740577","0.980979770594283","label_sample_only_not_sequence_null_model"
"92","chr9","chr8","0.994888655493579","0.995836544921277","label_sample_only_not_sequence_null_model"
"93","chrX","chr6","0.996684690989549","0.997788466908189","label_sample_only_not_sequence_null_model"
"94","chr15","chr4","0.995829093041876","0.997078132170598","label_sample_only_not_sequence_null_model"
"95","chr2","chr11","0.995919368520075","0.997001620787092","label_sample_only_not_sequence_null_model"
"96","chr20","chr14","0.988884826237734","0.990240931547491","label_sample_only_not_sequence_null_model"
"97","chr13","chrX","0.995087913723095","0.996211240053612","label_sample_only_not_sequence_null_model"
"98","chr2","chr10","0.995799032045212","0.99688128431223","label_sample_only_not_sequence_null_model"
"99","chr4","chr14","0.993846419833789","0.994970709462926","label_sample_only_not_sequence_null_model"
"100","chr21","chr19","0.98699764084815","0.98796443411454","label_sample_only_not_sequence_null_model"
"101","chrY","chr5","0.996167081090849","0.997708426086614","label_sample_only_not_sequence_null_model"
"102","chr21","chr8","0.993805355504194","0.994772148770584","label_sample_only_not_sequence_null_model"
"103","chr15","chrY","0.965876570785047","0.96712560991377","label_sample_only_not_sequence_null_model"
"104","chr11","chr20","0.990587771818915","0.991661853739032","label_sample_only_not_sequence_null_model"
"105","chr10","chr17","0.992375333794731","0.993568624084468","label_sample_only_not_sequence_null_model"
"106","chr17","chr7","0.99446233975773","0.996226782048725","label_sample_only_not_sequence_null_model"
"107","chr13","chr20","0.990215460249795","0.991338786580312","label_sample_only_not_sequence_null_model"
"108","chr19","chr17","0.990606365171358","0.992864097818692","label_sample_only_not_sequence_null_model"
"109","chr15","chr12","0.994294101298901","0.995543140427623","label_sample_only_not_sequence_null_model"
"110","chr14","chr12","0.993982959945729","0.99512111296673","label_sample_only_not_sequence_null_model"
"111","chr19","chrX","0.991542756977722","0.993800489625056","label_sample_only_not_sequence_null_model"
"112","chrX","chr3","0.997090628309754","0.998194404228394","label_sample_only_not_sequence_null_model"
"113","chr17","chr5","0.993698868328072","0.995463310619067","label_sample_only_not_sequence_null_model"
"114","chr4","chr4","0.99691043010556","0.998034719734697","label_sample_only_not_sequence_null_model"
"115","chr12","chr15","0.991980363941867","0.992933139188008","label_sample_only_not_sequence_null_model"
"116","chr13","chr9","0.994253651712093","0.99537697804261","label_sample_only_not_sequence_null_model"
"117","chr11","chr13","0.992737942594224","0.99381202451434","label_sample_only_not_sequence_null_model"
"118","chr11","chr11","0.995758355106101","0.996832437026218","label_sample_only_not_sequence_null_model"
"119","chr2","chr2","0.997544520650309","0.998626772917326","label_sample_only_not_sequence_null_model"
"120","chr9","chr4","0.995555979722671","0.996503869150369","label_sample_only_not_sequence_null_model"
"121","chr7","chr18","0.991222318413306","0.992382119099193","label_sample_only_not_sequence_null_model"
"122","chr16","chr10","0.993482518398897","0.995145321707293","label_sample_only_not_sequence_null_model"
"123","chr10","chr19","0.987751377695487","0.988944667985224","label_sample_only_not_sequence_null_model"
"124","chr15","chr10","0.995011444208778","0.996260483337501","label_sample_only_not_sequence_null_model"
"125","chr4","chr18","0.992797351032327","0.993921640661463","label_sample_only_not_sequence_null_model"
"126","chrY","chr19","0.988112815247579","0.989654160243344","label_sample_only_not_sequence_null_model"
"127","chr17","chr20","0.987200678055249","0.988965120346244","label_sample_only_not_sequence_null_model"
"128","chr5","chr3","0.996735182192259","0.997772669679949","label_sample_only_not_sequence_null_model"
"129","chr1","chr19","0.988527750963628","0.989731187838186","label_sample_only_not_sequence_null_model"
"130","chr12","chr14","0.991583956361467","0.992536731607607","label_sample_only_not_sequence_null_model"
"131","chr6","chr22","0.982942542404343","0.984057303490163","label_sample_only_not_sequence_null_model"
"132","chr8","chr17","0.993342012509167","0.994398185362872","label_sample_only_not_sequence_null_model"
"133","chr4","chr8","0.996410462806067","0.997534752435204","label_sample_only_not_sequence_null_model"
"134","chr16","chr20","0.987166775162328","0.988829578470723","label_sample_only_not_sequence_null_model"
"135","chr7","chr19","0.988374252030569","0.989534052716455","label_sample_only_not_sequence_null_model"
"136","chr5","chr15","0.992735638320438","0.993773125808129","label_sample_only_not_sequence_null_model"
"137","chr18","chr5","0.995837998290233","0.996950013027196","label_sample_only_not_sequence_null_model"
"138","chr12","chr2","0.997284083553394","0.998236858799535","label_sample_only_not_sequence_null_model"
"139","chr17","chr20","0.987200678055249","0.988965120346244","label_sample_only_not_sequence_null_model"
"140","chr20","chr2","0.996310772169929","0.997666877479686","label_sample_only_not_sequence_null_model"
"141","chr20","chr5","0.993929950858255","0.995286056168011","label_sample_only_not_sequence_null_model"
"142","chr7","chr22","0.98278281417442","0.983942614860307","label_sample_only_not_sequence_null_model"
"143","chr1","chr2","0.997437855270409","0.998641292144968","label_sample_only_not_sequence_null_model"
"144","chr15","chr3","0.996282576632721","0.997531615761443","label_sample_only_not_sequence_null_model"
"145","chr19","chr1","0.995564045589054","0.997821778236388","label_sample_only_not_sequence_null_model"
"146","chr10","chr18","0.98963851528634","0.990831805576077","label_sample_only_not_sequence_null_model"
"147","chr17","chr4","0.994235091232464","0.995999533523459","label_sample_only_not_sequence_null_model"
"148","chr20","chr2","0.996310772169929","0.997666877479686","label_sample_only_not_sequence_null_model"
"149","chr3","chr14","0.993710305554203","0.994813470536067","label_sample_only_not_sequence_null_model"
"150","chr14","chr3","0.996116831238303","0.997254984259304","label_sample_only_not_sequence_null_model"
"151","chr10","chr2","0.996970699553113","0.99816398984285","label_sample_only_not_sequence_null_model"
"152","chr3","chr13","0.993829437478237","0.994932602460101","label_sample_only_not_sequence_null_model"
"153","chr1","chr9","0.99467625617311","0.995879693047668","label_sample_only_not_sequence_null_model"
"154","chr20","chr11","0.994099841963218","0.995455947272974","label_sample_only_not_sequence_null_model"
"155","chr15","chr2","0.99708132211162","0.998330361240342","label_sample_only_not_sequence_null_model"
"156","chr8","chr20","0.990759719386362","0.991815892240068","label_sample_only_not_sequence_null_model"
"157","chr11","chr13","0.992737942594224","0.99381202451434","label_sample_only_not_sequence_null_model"
"158","chr1","chr15","0.992997345308791","0.994200782183349","label_sample_only_not_sequence_null_model"
"159","chr8","chr3","0.996827129647532","0.997883302501237","label_sample_only_not_sequence_null_model"
"160","chr10","chrX","0.994212319475322","0.99540560976506","label_sample_only_not_sequence_null_model"
"161","chrY","chr11","0.995652079541175","0.99719342453694","label_sample_only_not_sequence_null_model"
"162","chr9","chr18","0.989194449171773","0.990142338599471","label_sample_only_not_sequence_null_model"
"163","chr18","chr22","0.982151285280601","0.983263300017564","label_sample_only_not_sequence_null_model"
"164","chr3","chr22","0.983999892713962","0.985103057695826","label_sample_only_not_sequence_null_model"
"165","chr8","chr15","0.992896564067314","0.993952736921019","label_sample_only_not_sequence_null_model"
"166","chr12","chr6","0.995852805074978","0.996805580321119","label_sample_only_not_sequence_null_model"
"167","chr19","chr20","0.986286140733922","0.988543873381256","label_sample_only_not_sequence_null_model"
"168","chr1","chr10","0.995710364374103","0.996913801248662","label_sample_only_not_sequence_null_model"
"169","chr21","chr10","0.993666327522651","0.99463312078904","label_sample_only_not_sequence_null_model"
"170","chr8","chr1","0.997553970904844","0.998610143758549","label_sample_only_not_sequence_null_model"
"171","chr20","chr5","0.993929950858255","0.995286056168011","label_sample_only_not_sequence_null_model"
"172","chrY","chr11","0.995652079541175","0.99719342453694","label_sample_only_not_sequence_null_model"
"173","chr18","chr15","0.992362733729948","0.993474748466911","label_sample_only_not_sequence_null_model"
"174","chr6","chrY","0.970295171308258","0.971409932394078","label_sample_only_not_sequence_null_model"
"175","chr13","chrX","0.995087913723095","0.996211240053612","label_sample_only_not_sequence_null_model"
"176","chrY","chr20","0.991241061612408","0.992782406608173","label_sample_only_not_sequence_null_model"
"177","chr16","chr8","0.993646688035477","0.995309491343872","label_sample_only_not_sequence_null_model"
"178","chr20","chr17","0.991290044308267","0.992646149618024","label_sample_only_not_sequence_null_model"
"179","chr21","chr9","0.991639778499822","0.992606571766211","label_sample_only_not_sequence_null_model"
"180","chr18","chrY","0.968513018455333","0.969625033192296","label_sample_only_not_sequence_null_model"
"181","chr8","chr16","0.993359028243609","0.994415201097315","label_sample_only_not_sequence_null_model"
"182","chr22","chr18","0.984535293112696","0.986172121783322","label_sample_only_not_sequence_null_model"
"183","chr2","chr13","0.993061404956613","0.99414365722363","label_sample_only_not_sequence_null_model"
"184","chr12","chr17","0.992832866822726","0.993785642068867","label_sample_only_not_sequence_null_model"
"185","chr3","chr13","0.993829437478237","0.994932602460101","label_sample_only_not_sequence_null_model"
"186","chr4","chr10","0.996190931119136","0.997315220748272","label_sample_only_not_sequence_null_model"
"187","chr8","chr9","0.994586924165615","0.99564309701932","label_sample_only_not_sequence_null_model"
"188","chr8","chr21","0.979923597740577","0.980979770594283","label_sample_only_not_sequence_null_model"
"189","chr2","chr19","0.988688246647537","0.989770498914554","label_sample_only_not_sequence_null_model"
"190","chrX","chrY","0.972589901838403","0.973693677757043","label_sample_only_not_sequence_null_model"
"191","chr19","chr2","0.99523442335302","0.997492156000354","label_sample_only_not_sequence_null_model"
"192","chr17","chr14","0.988928337682063","0.990692779973057","label_sample_only_not_sequence_null_model"
"193","chr4","chrY","0.973901411845046","0.975025701474182","label_sample_only_not_sequence_null_model"
"194","chr7","chr22","0.98278281417442","0.983942614860307","label_sample_only_not_sequence_null_model"
"195","chr20","chr16","0.991169520149116","0.992525625458873","label_sample_only_not_sequence_null_model"
"196","chr11","chr11","0.995758355106101","0.996832437026218","label_sample_only_not_sequence_null_model"
"197","chr14","chr1","0.997145195407226","0.998283348428227","label_sample_only_not_sequence_null_model"
"198","chr22","chr4","0.993254519154658","0.994891347825284","label_sample_only_not_sequence_null_model"
"199","chr7","chr12","0.99487481409734","0.996034614783227","label_sample_only_not_sequence_null_model"
"200","chr7","chr19","0.988374252030569","0.989534052716455","label_sample_only_not_sequence_null_model"
"201","chr15","chrX","0.994579778239238","0.995828817367961","label_sample_only_not_sequence_null_model"
"202","chr16","chr19","0.986828086152835","0.98849088946123","label_sample_only_not_sequence_null_model"
"203","chrX","chr17","0.993697458872834","0.994801234791473","label_sample_only_not_sequence_null_model"
"204","chr20","chr14","0.988884826237734","0.990240931547491","label_sample_only_not_sequence_null_model"
"205","chr18","chrX","0.994957351541995","0.996069366278958","label_sample_only_not_sequence_null_model"
"206","chr10","chr15","0.991503065757509","0.992696356047246","label_sample_only_not_sequence_null_model"
"207","chr9","chr22","0.981698286792427","0.982646176220125","label_sample_only_not_sequence_null_model"
"208","chr19","chr9","0.990587143386699","0.992844876034034","label_sample_only_not_sequence_null_model"
"209","chr7","chr12","0.99487481409734","0.996034614783227","label_sample_only_not_sequence_null_model"
"210","chr15","chr7","0.995763600795973","0.997012639924695","label_sample_only_not_sequence_null_model"
"211","chr17","chr12","0.992334975180144","0.994099417471138","label_sample_only_not_sequence_null_model"
"212","chr15","chr21","0.977307350305421","0.978556389434143","label_sample_only_not_sequence_null_model"
"213","chr5","chr7","0.99627557843495","0.997313065922641","label_sample_only_not_sequence_null_model"
"214","chr14","chr3","0.996116831238303","0.997254984259304","label_sample_only_not_sequence_null_model"
"215","chr3","chr8","0.996337113999526","0.99744027898139","label_sample_only_not_sequence_null_model"
"216","chr2","chr17","0.993429079724868","0.994511331991886","label_sample_only_not_sequence_null_model"
"217","chr8","chr5","0.99614364512629","0.997199817979995","label_sample_only_not_sequence_null_model"
"218","chr7","chr5","0.995941075029471","0.997100875715358","label_sample_only_not_sequence_null_model"
"219","chr1","chr9","0.99467625617311","0.995879693047668","label_sample_only_not_sequence_null_model"
"220","chr5","chr6","0.996265280427344","0.997302767915035","label_sample_only_not_sequence_null_model"
"221","chr4","chr22","0.984005280003207","0.985129569632344","label_sample_only_not_sequence_null_model"
"222","chr11","chrX","0.99533231499961","0.996406396919726","label_sample_only_not_sequence_null_model"
"223","chrX","chr16","0.993735226990151","0.994839002908791","label_sample_only_not_sequence_null_model"
"224","chr22","chr10","0.992332382538667","0.993969211209293","label_sample_only_not_sequence_null_model"
"225","chr13","chrX","0.995087913723095","0.996211240053612","label_sample_only_not_sequence_null_model"
"226","chr3","chr15","0.993640795105307","0.994743960087171","label_sample_only_not_sequence_null_model"
"227","chr20","chr12","0.992444667838128","0.993800773147885","label_sample_only_not_sequence_null_model"
"228","chr11","chr18","0.991441834189997","0.992515916110114","label_sample_only_not_sequence_null_model"
"229","chr11","chr9","0.994546314982266","0.995620396902382","label_sample_only_not_sequence_null_model"
"230","chr3","chr13","0.993829437478237","0.994932602460101","label_sample_only_not_sequence_null_model"
"231","chr11","chr19","0.988256803447964","0.989330885368081","label_sample_only_not_sequence_null_model"
"232","chr19","chr5","0.992735534309431","0.994993266956765","label_sample_only_not_sequence_null_model"
"233","chr14","chr5","0.995217320831071","0.996355473852072","label_sample_only_not_sequence_null_model"
"234","chr14","chr14","0.991081229175819","0.992219382196819","label_sample_only_not_sequence_null_model"
"235","chr4","chr1","0.997668839445394","0.998793129074531","label_sample_only_not_sequence_null_model"
"236","chr16","chr21","0.971694571294362","0.973357374602758","label_sample_only_not_sequence_null_model"
"237","chrY","chr2","0.997291730395111","0.998833075390876","label_sample_only_not_sequence_null_model"
"238","chr6","chrY","0.970295171308258","0.971409932394078","label_sample_only_not_sequence_null_model"
"239","chr18","chr18","0.990900399805882","0.992012414542845","label_sample_only_not_sequence_null_model"
"240","chr17","chrX","0.992503331243086","0.994267773534081","label_sample_only_not_sequence_null_model"
"241","chr19","chr12","0.991335081850295","0.993592814497629","label_sample_only_not_sequence_null_model"
"242","chr13","chrY","0.969056986256296","0.970180312586814","label_sample_only_not_sequence_null_model"
"243","chr2","chr9","0.994760028297086","0.995842280564103","label_sample_only_not_sequence_null_model"
"244","chr12","chr13","0.99153085331858","0.99248362856472","label_sample_only_not_sequence_null_model"
"245","chr7","chr12","0.99487481409734","0.996034614783227","label_sample_only_not_sequence_null_model"
"246","chr4","chr5","0.99670136820221","0.997825657831346","label_sample_only_not_sequence_null_model"
"247","chr13","chr8","0.995632328964381","0.996755655294898","label_sample_only_not_sequence_null_model"
"248","chr15","chr21","0.977307350305421","0.978556389434143","label_sample_only_not_sequence_null_model"
"249","chr5","chr14","0.992529678168321","0.993567165656012","label_sample_only_not_sequence_null_model"
"250","chr18","chrX","0.994957351541995","0.996069366278958","label_sample_only_not_sequence_null_model"
"251","chr4","chr6","0.996804133695412","0.997928423324549","label_sample_only_not_sequence_null_model"
"252","chr7","chr20","0.990461188729024","0.991620989414911","label_sample_only_not_sequence_null_model"
"253","chr21","chr19","0.98699764084815","0.98796443411454","label_sample_only_not_sequence_null_model"
"254","chr3","chr7","0.996671373275082","0.997774538256946","label_sample_only_not_sequence_null_model"
"255","chr3","chr22","0.983999892713962","0.985103057695826","label_sample_only_not_sequence_null_model"
"256","chr4","chrY","0.973901411845046","0.975025701474182","label_sample_only_not_sequence_null_model"
"257","chr18","chr4","0.996128966739447","0.99724098147641","label_sample_only_not_sequence_null_model"
"258","chr2","chr7","0.996436577017055","0.997518829284072","label_sample_only_not_sequence_null_model"
"259","chr7","chr15","0.992647641157433","0.99380744184332","label_sample_only_not_sequence_null_model"
"260","chr16","chr8","0.993646688035477","0.995309491343872","label_sample_only_not_sequence_null_model"
"261","chr15","chr3","0.996282576632721","0.997531615761443","label_sample_only_not_sequence_null_model"
"262","chrX","chr4","0.996788806175636","0.997892582094275","label_sample_only_not_sequence_null_model"
"263","chr9","chr1","0.997252946208281","0.998200835635979","label_sample_only_not_sequence_null_model"
"264","chr4","chrY","0.973901411845046","0.975025701474182","label_sample_only_not_sequence_null_model"
"265","chr4","chr12","0.995799807408682","0.996924097037819","label_sample_only_not_sequence_null_model"
"266","chrX","chr8","0.99627083420087","0.99737461011951","label_sample_only_not_sequence_null_model"
"267","chr2","chr16","0.993462351014153","0.99454460328117","label_sample_only_not_sequence_null_model"
"268","chr15","chr17","0.992567516184717","0.993816555313439","label_sample_only_not_sequence_null_model"
"269","chr11","chr3","0.996792223993776","0.997866305913893","label_sample_only_not_sequence_null_model"
"270","chr11","chr11","0.995758355106101","0.996832437026218","label_sample_only_not_sequence_null_model"
"271","chr3","chr16","0.993808522085359","0.994911687067223","label_sample_only_not_sequence_null_model"
"272","chr2","chr6","0.996435385292408","0.997517637559425","label_sample_only_not_sequence_null_model"
"273","chr13","chr12","0.994782315890659","0.995905642221176","label_sample_only_not_sequence_null_model"
"274","chr8","chr11","0.995872843972323","0.996929016826029","label_sample_only_not_sequence_null_model"
"275","chr10","chr18","0.98963851528634","0.990831805576077","label_sample_only_not_sequence_null_model"
"276","chr15","chr22","0.981880504888112","0.983129544016834","label_sample_only_not_sequence_null_model"
"277","chr10","chr15","0.991503065757509","0.992696356047246","label_sample_only_not_sequence_null_model"
"278","chr12","chr3","0.996407845790566","0.997360621036707","label_sample_only_not_sequence_null_model"
"279","chr15","chrX","0.994579778239238","0.995828817367961","label_sample_only_not_sequence_null_model"
"280","chr10","chr19","0.987751377695487","0.988944667985224","label_sample_only_not_sequence_null_model"
"281","chr15","chr8","0.995203588927817","0.996452628056539","label_sample_only_not_sequence_null_model"
"282","chr5","chr15","0.992735638320438","0.993773125808129","label_sample_only_not_sequence_null_model"
"283","chr7","chr5","0.995941075029471","0.997100875715358","label_sample_only_not_sequence_null_model"
"284","chr17","chr10","0.993383100210972","0.995147542501966","label_sample_only_not_sequence_null_model"
"285","chrY","chr7","0.996236488307786","0.997777833303551","label_sample_only_not_sequence_null_model"
"286","chr4","chrX","0.996049764708302","0.997174054337439","label_sample_only_not_sequence_null_model"
"287","chr22","chr10","0.992332382538667","0.993969211209293","label_sample_only_not_sequence_null_model"
"288","chr11","chr22","0.982736071932517","0.983810153852634","label_sample_only_not_sequence_null_model"
"289","chr11","chr17","0.993165940081838","0.994240022001955","label_sample_only_not_sequence_null_model"
"290","chrY","chr1","0.997210208463945","0.99875155345971","label_sample_only_not_sequence_null_model"
"291","chrX","chr18","0.992457093643303","0.993560869561943","label_sample_only_not_sequence_null_model"
"292","chr22","chr19","0.986614675855743","0.988251504526369","label_sample_only_not_sequence_null_model"
"293","chrY","chr10","0.995787234321793","0.997328579317558","label_sample_only_not_sequence_null_model"
"294","chr3","chr11","0.996201778114638","0.997304943096502","label_sample_only_not_sequence_null_model"
"295","chr3","chr20","0.991636417309976","0.99273958229184","label_sample_only_not_sequence_null_model"
"296","chr21","chr9","0.991639778499822","0.992606571766211","label_sample_only_not_sequence_null_model"
"297","chr5","chrY","0.968537619109101","0.969575106596791","label_sample_only_not_sequence_null_model"
"298","chr22","chr9","0.990024189380796","0.991661018051422","label_sample_only_not_sequence_null_model"
"299","chr9","chr1","0.997252946208281","0.998200835635979","label_sample_only_not_sequence_null_model"
"300","chr9","chr4","0.995555979722671","0.996503869150369","label_sample_only_not_sequence_null_model"
"301","chr2","chr14","0.993015301841474","0.994097554108491","label_sample_only_not_sequence_null_model"
"302","chr22","chr15","0.988032993985129","0.989669822655755","label_sample_only_not_sequence_null_model"
"303","chr5","chr19","0.988548376481403","0.989585863969094","label_sample_only_not_sequence_null_model"
"304","chr19","chr4","0.993377097021131","0.995634829668465","label_sample_only_not_sequence_null_model"
"305","chr16","chr8","0.993646688035477","0.995309491343872","label_sample_only_not_sequence_null_model"
"306","chr3","chr1","0.997685088354663","0.998788253336527","label_sample_only_not_sequence_null_model"
"307","chr19","chr9","0.990587143386699","0.992844876034034","label_sample_only_not_sequence_null_model"
"308","chr14","chr9","0.993380575050673","0.994518728071673","label_sample_only_not_sequence_null_model"
